Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,Low,12.0,no,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,High,Low,Reject,9
1,employer,Low,16.0,yes,gold,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Medium,High,Reject,8
1,employer,Medium,23.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Medium,High,Accept,6
1,employer,Low,10.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Reject,6
1,employer,Medium,15.0,no,normal,2,5.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,High,Low,Accept,6
1,employer,Medium,19.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Medium,Medium,Accept,9
1,employer,Medium,11.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,Medium,Accept,8
1,employer,Low,15.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Low,Medium,Accept,7
1,employer,Low,22.0,no,platinum,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,9
1,employer,High,22.0,yes,platinum,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,High,High,Medium,Accept,8
1,employer,Low,22.0,no,gold,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,High,Medium,Medium,Accept,7
1,employer,Medium,13.0,yes,gold,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,Medium,Accept,8
1,employer,Medium,18.0,no,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Medium,Medium,Reject,9
1,employer,Low,15.0,yes,normal,2,5.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,High,High,High,Reject,6
1,employer,Medium,18.0,no,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,High,Medium,Medium,Accept,7
1,employer,Medium,14.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Low,Low,Medium,Reject,6
1,employer,Medium,24.0,no,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Low,Low,High,Accept,8
1,employer,Medium,18.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Low,High,Reject,7
1,employer,Medium,11.0,no,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Low,Low,Medium,Accept,6
1,employer,Medium,22.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,High,High,Reject,7
1,employer,Medium,19.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,Low,High,Accept,9
1,employer,Low,22.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,7
1,employer,Low,14.0,no,gold,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Reject,7
1,employer,Medium,10.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Low,Accept,6
1,employer,Medium,22.0,no,gold,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Low,Accept,6
1,employer,Medium,22.0,yes,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,High,High,Low,Reject,6
1,employer,Low,15.0,no,platinum,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,High,Accept,7
1,employer,Low,14.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Low,Medium,Reject,6
1,employer,High,13.0,no,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,High,Medium,Accept,9
1,employer,Low,14.0,yes,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,9
1,employer,High,22.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,Medium,Accept,6
1,employer,High,17.0,yes,normal,2,5.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Low,Low,Accept,7
1,employer,Medium,17.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,7
1,employer,Medium,20.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,7
1,employer,Medium,22.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,6
1,employer,Low,11.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,9
1,employer,High,22.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,High,Medium,Reject,9
1,employer,Medium,23.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,High,High,Accept,6
1,employer,Medium,21.0,no,normal,2,5.0,4.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,8
1,employer,Low,19.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,High,Medium,Accept,9
1,employer,High,23.0,no,gold,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Low,Low,Medium,Reject,9
1,employer,Medium,24.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,High,Medium,Accept,7
1,employer,Medium,21.0,no,gold,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Low,Medium,Accept,6
1,employer,Low,20.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Medium,Medium,Medium,Reject,7
1,employer,Low,19.0,no,gold,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Medium,Reject,8
1,employer,Low,22.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Low,High,Accept,9
1,employer,Medium,15.0,no,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,6
1,employer,High,13.0,yes,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,High,Medium,Medium,Accept,7
1,employer,High,24.0,no,normal,2,5.0,4.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,9
1,employer,High,22.0,yes,gold,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,Medium,Reject,9
1,employer,Low,22.0,no,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Reject,9
1,employer,Low,21.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,High,High,Accept,7
1,employer,Medium,11.0,no,platinum,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,High,Accept,7
1,employer,Medium,13.0,yes,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,8
1,employer,Medium,11.0,no,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,7
1,employer,Medium,16.0,yes,gold,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Low,Low,Medium,Accept,9
1,employer,Medium,15.0,no,gold,2,15.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,High,High,Low,Accept,8
1,employer,High,22.0,yes,gold,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,High,Medium,Reject,8
1,employer,High,18.0,no,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Low,High,High,Accept,7
1,employer,Low,18.0,yes,gold,2,15.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Medium,High,Accept,8
1,employer,Medium,11.0,no,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Low,Low,Accept,6
1,employer,High,24.0,yes,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Low,High,Accept,9
1,employer,Low,23.0,no,gold,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,9
1,employer,Medium,21.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,High,Medium,Low,Accept,9
1,employer,Medium,22.0,no,platinum,2,15.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,7
1,employer,Medium,22.0,yes,gold,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Low,High,Accept,7
1,employer,Low,22.0,no,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,7
1,employer,High,17.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Low,Medium,Accept,6
1,employer,Low,10.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,6
1,employer,Medium,10.0,yes,gold,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,9
1,employer,Low,15.0,no,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Low,Medium,Reject,6
1,employer,Medium,16.0,yes,normal,2,5.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,6
1,employer,Medium,16.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,8
1,employer,High,16.0,yes,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Medium,Reject,9
1,employer,Low,16.0,no,gold,2,15.0,4.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,Low,Medium,Accept,8
1,employer,Medium,18.0,yes,gold,2,15.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,High,Reject,6
1,employer,Medium,15.0,no,normal,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,High,High,Reject,7
1,employer,High,17.0,yes,normal,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,High,Low,Low,Reject,6
1,employer,Low,22.0,no,normal,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,High,Medium,Medium,Reject,9
1,employer,Medium,22.0,yes,gold,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,Low,Low,Reject,7
1,employer,Medium,19.0,no,normal,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Low,Medium,Accept,9
6,employer,High,22.0,yes,gold,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,9
6,employer,High,17.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Medium,Medium,High,Accept,8
6,employer,Medium,11.0,yes,gold,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Low,Medium,Accept,8
6,employer,Medium,18.0,no,gold,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,Low,Medium,Accept,8
6,employer,High,13.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,High,Accept,8
6,employer,Medium,22.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Medium,Reject,7
6,employer,Medium,22.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Medium,High,Accept,8
6,employer,High,13.0,no,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,High,Medium,Accept,6
6,employer,Low,12.0,yes,gold,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,High,Medium,Medium,Reject,8
6,employer,Medium,22.0,no,gold,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,High,Low,Accept,9
6,employer,Medium,10.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Low,Medium,Medium,Accept,9
6,employer,Low,15.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Low,Accept,7
6,employer,Medium,17.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,High,Reject,8
6,employer,Medium,17.0,no,platinum,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Low,Medium,Accept,9
6,employer,High,12.0,yes,gold,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,High,Accept,7
6,employer,Low,20.0,no,normal,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,6
6,employer,Medium,18.0,yes,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Medium,Low,Reject,8
6,employer,High,14.0,no,gold,2,6.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,High,Accept,9
6,employer,High,16.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Low,Medium,Medium,Reject,8
6,employer,Medium,15.0,no,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Low,Medium,Accept,7
6,employer,High,10.0,yes,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Low,Medium,Accept,7
6,employer,Low,22.0,no,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,9
6,employer,High,22.0,yes,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Low,Accept,8
6,employer,Medium,22.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Low,Low,Medium,Accept,9
6,employer,Medium,22.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Medium,Low,Accept,6
6,employer,Low,16.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,Low,High,Reject,7
6,employer,Low,20.0,yes,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Low,Medium,Accept,7
6,employer,Medium,17.0,no,platinum,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,Medium,Reject,8
6,employer,Low,20.0,yes,gold,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Medium,High,Medium,Accept,9
6,employer,High,14.0,no,gold,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Low,High,Medium,Accept,6
6,employer,Medium,17.0,yes,normal,2,6.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Medium,Medium,Accept,7
6,employer,Medium,23.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Low,Low,Reject,8
6,employer,Medium,17.0,yes,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,High,Low,Accept,7
6,employer,Medium,22.0,no,platinum,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,Medium,Accept,7
6,employer,High,22.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,8
6,employer,High,16.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,High,Low,Medium,Accept,7
6,employer,Medium,15.0,yes,normal,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,8
6,employer,Low,16.0,no,platinum,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Low,Medium,Medium,Reject,6
6,employer,Low,17.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,Medium,Reject,7
6,employer,Medium,18.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,High,Medium,Accept,9
6,employer,High,23.0,yes,platinum,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Low,Low,Accept,8
6,employer,Medium,22.0,no,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Low,Accept,9
6,employer,Medium,23.0,yes,gold,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Medium,High,Accept,8
6,employer,High,22.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Low,Low,Medium,Accept,9
6,employer,Medium,12.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,Low,Medium,Accept,8
6,employer,High,12.0,no,gold,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Low,Accept,8
6,employer,Medium,22.0,yes,normal,2,6.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Low,Low,Accept,6
6,employer,Low,23.0,no,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,8
6,employer,Low,22.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,High,Medium,Accept,7
6,employer,Low,17.0,no,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Low,Accept,8
6,employer,Low,12.0,yes,normal,2,15.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Medium,Medium,Accept,8
6,employer,Medium,14.0,no,gold,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,Medium,Low,Reject,6
6,employer,Low,22.0,yes,normal,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Low,Low,Reject,7
6,employer,High,13.0,no,platinum,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,High,Medium,Accept,7
6,employer,Medium,21.0,yes,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,Medium,Medium,Accept,8
6,employer,Medium,22.0,no,normal,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,Medium,Medium,Reject,7
6,employer,Medium,22.0,yes,normal,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Low,High,High,Accept,6
6,employer,High,11.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,High,High,Reject,7
6,employer,Low,22.0,yes,normal,2,15.0,4.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,9
6,employer,Medium,18.0,no,platinum,2,15.0,4.0,2.0,1.0,1,condominium,10.0,Johor,2.0,Medium,Low,Low,Accept,7
6,employer,Low,22.0,yes,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,Low,High,Accept,8
6,employer,Low,17.0,no,normal,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,2.0,High,Medium,Medium,Accept,8
6,employer,Low,22.0,yes,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Medium,Medium,High,Accept,7
6,employer,Medium,22.0,no,gold,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,7
6,employer,Low,22.0,yes,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,High,Accept,9
6,employer,Low,22.0,no,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,High,Low,Medium,Accept,9
6,employer,Low,18.0,yes,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,9
6,employer,High,20.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Low,Medium,Medium,Accept,7
6,employer,Medium,22.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,8
6,employer,Medium,22.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,Low,High,Accept,9
6,employer,High,22.0,yes,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Low,High,High,Accept,9
6,employer,Medium,13.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,Low,Medium,Low,Accept,7
6,employer,Medium,12.0,yes,gold,2,15.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,High,Low,Medium,Accept,6
6,employer,Low,17.0,no,normal,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Low,Medium,Accept,8
6,employer,Low,23.0,yes,normal,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,Medium,Low,Accept,8
6,employer,Low,13.0,no,normal,2,6.0,4.0,2.0,1.0,3,condominium,10.0,Johor,2.0,High,Medium,Low,Accept,7
6,employer,Low,22.0,yes,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Low,High,Low,Accept,7
6,employer,High,10.0,no,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,1.0,Medium,High,Medium,Reject,8
6,employer,Low,23.0,yes,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,Low,Medium,Accept,9
6,employer,High,20.0,no,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,High,Low,Accept,7
6,employer,Low,22.0,yes,platinum,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,High,High,Medium,Accept,6
6,employer,High,22.0,no,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,Medium,Low,Accept,6
6,employer,Medium,17.0,yes,normal,2,15.0,4.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,8
6,employer,Low,14.0,no,gold,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,9
6,employer,Medium,23.0,yes,gold,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Medium,Medium,Accept,9
6,employer,High,17.0,no,platinum,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Low,Low,Medium,Reject,9
6,employer,Low,22.0,yes,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,High,High,High,Accept,8
6,employer,Medium,11.0,no,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,Medium,High,Medium,Accept,6
6,employer,High,22.0,yes,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Low,Low,Accept,6
6,employer,Low,15.0,no,normal,2,6.0,4.0,2.0,1.0,2,condominium,10.0,Johor,2.0,Medium,Low,Low,Reject,8
6,employer,Low,24.0,yes,normal,2,15.0,4.0,2.0,1.0,3,condominium,10.0,Johor,3.0,High,Medium,Medium,Accept,6
6,employer,Medium,21.0,no,normal,2,15.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,Medium,Medium,Medium,Accept,6
6,employer,High,17.0,yes,gold,2,6.0,4.0,2.0,1.0,1,condominium,10.0,Johor,1.0,Low,High,Medium,Accept,9
6,employer,Medium,11.0,no,normal,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,Medium,High,Medium,Accept,9
6,employer,Medium,17.0,yes,normal,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,Medium,Low,Low,Reject,9
